1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,24
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,0,23,24
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,21,22,23,24
1,2,3,4,0,6,7,8,9,5,11,12,13,14,10,16,17,18,19,15,21,22,23,24,20
1,2,3,0,4,6,7,8,9,5,11,12,13,14,10,16,17,18,19,15,21,22,23,24,20
0,1,2,3,4,6,7,8,9,5,11,12,13,14,10,16,17,18,19,15,21,22,23,24,20
6,1,2,3,4,11,7,8,9,5,16,12,13,14,10,21,17,18,19,15,0,22,23,24,20
6,1,2,3,4,11,7,8,9,5,16,12,13,14,10,21,17,18,19,15,22,23,24,20,0
6,1,2,3,4,11,7,13,8,9,16,12,0,14,5,21,17,18,19,10,22,23,24,20,15
0,6,1,3,4,11,7,2,8,9,16,12,13,14,5,21,17,18,19,10,22,23,24,20,15
11,6,1,3,4,16,7,2,8,9,21,12,13,14,5,22,17,18,19,10,0,23,24,20,15
11,6,1,3,0,16,7,2,8,4,21,12,13,14,9,22,17,18,19,5,23,24,20,15,10
11,6,2,1,3,16,7,13,8,4,21,12,0,14,9,22,17,18,19,5,23,24,20,15,10
11,6,2,1,3,16,7,13,8,4,22,21,12,14,9,23,17,18,19,5,0,24,20,15,10
2,11,0,4,5,6,1,3,9,12,8,19,13,7,10,18,17,14,15,20,16,21,22,23,24
